IRUC;DEPARTAMENTO;PROVINCIA;DISTRITO;Sexo;Cargo Informante;Cargo Informante otro;DESC_CIIU;Año funcionamiento;Empresa actualmente;Nivel ventas;Porcentaje;Capacidad operativa 2do trimestre;Modalidad ventas segundo trimentre;Disminución de la demanda de sus productos o servicios;Paralización de la producción a causa de la pandemia;Dificultad en la exportación de sus productos;Desabastecimiento de materias primas e insumos del mercado nacional;Desabastecimiento de materias primas e insumos del extranjero;Disminución de la inversión en maquinaria y equipos;Retraso en el pago de facturas;Retraso en el cobro de facturas;Enfermedad de trabajadores por el COVID-19;Pérdida de capital de trabajo;Altos costos para implementar planes de seguridad;¿Otro?;¿Otro? (Especifique);NO TUVO PROBLEMAS;¿Qué porcentaje de trabajadores laboró en la empresa en el segundo trimestre 2020 (Abril-Mayo-Junio); ¿Cuáles son las modalidades que ha adoptado la empresa para las labores de sus trabajadores?;TAMANO_EMPRESA
126086;LIMA;LIMA;SANTIAGO DE SURCO;2;Otro;GERENTE DE ADMINISTRACION Y FINANZAS;Generación, transmisión y distribución de energía eléctrica;2015;Operativa;Se mantiene;;De 61 a 80%;Por otra modalidad;0;0;0;0;0;0;0;0;0;0;0;0;;1;De 61 a 80%;Trabajo mixto;Mediana empresa
127490;LIMA;LIMA;COMAS;2;Administrador/a;;Actividades de restaurantes y de servicio móvil de comidas;2010;Parcialmente operativa;Disminuyó;20;De 21 a 40%;Por otra modalidad;1;1;0;1;0;1;1;0;0;1;1;0;;0;De 41 a 60%;Solo trabajo presencial;Gran empresa
128942;LIMA;LIMA;SANTIAGO DE SURCO;1;Otro;GERENTE DE ADMINISTRACION Y FINANZAS;Fabricación de productos de plástico;2014;Operativa;Disminuyó;85;De 21 a 40%;Solo a traves de delivery;1;0;0;0;0;0;1;1;0;0;1;0;;0;De 41 a 60%;Trabajo mixto;Micro empresa
129831;CALLAO;CALLAO;CALLAO;2;Propietario/a;;Actividades de restaurantes y de servicio móvil de comidas;1992;Parcialmente operativa;Disminuyó;95;Hasta 20%;Solo a traves de delivery;1;1;0;0;0;0;0;0;0;0;0;0;;0;Hasta 20%;Solo trabajo presencial;Gran empresa
134803;LIMA;LIMA;SAN MARTIN DE PORRES;1;Gerente/a general;;Transporte de carga por carretera;2009;Operativa;Disminuyó;35;De 61 a 80%;Solo de forma presencial;0;0;0;0;0;0;1;1;1;0;0;1;SE TRABAJO AL 75% POR TEMAS DE COVID;0;De 61 a 80%;Solo trabajo presencial;Mediana empresa
138433;LIMA;LIMA;SANTIAGO DE SURCO;1;Contador/a;;Actividades de oficinas principales;2009;Operativa;Disminuyó;80;De 21 a 40%;Solo de forma presencial;1;0;0;0;0;0;0;0;1;1;1;0;;0;De 81 a 100%;Trabajo mixto;Micro empresa
139805;LIMA;LIMA;SAN JUAN DE LURIGANCHO;2;Gerente/a general;;Fabricación de prendas de vestir, excepto prendas de piel;2001;Parcialmente operativa;Disminuyó;50;De 21 a 40%;Presencial y delivery;1;1;0;1;0;0;1;1;0;0;1;0;;0;Hasta 20%;Trabajo mixto;Pequeña empresa
141200;LIMA;LIMA;MIRAFLORES;2;Otro;REPRESENTANTE LEGAL;Construcción de edificios;2011;Inoperativa;;;;;;;;;;;;;;;;;;;;;Micro empresa
143994;LIMA;LIMA;SAN JUAN DE LURIGANCHO;1;Otro;SECRETARIA;Venta al por mayor no especializada;2011;Operativa;Se mantiene;;De 61 a 80%;Solo online;1;0;0;1;0;0;1;1;1;0;0;0;;0;De 81 a 100%;Trabajo mixto;Pequeña empresa
144017;LIMA;LIMA;PUEBLO LIBRE;2;Propietario/a;;Enseñanza secundaria de formación general;1994;Parcialmente operativa;Disminuyó;90;Hasta 20%;Presencial y delivery;1;0;0;0;0;0;1;0;0;1;0;1;IMPLEMENTACION DE CURSOS VIRTUALES;0;Hasta 20%;Solo trabajo remoto;Mediana empresa
